experiment,algorithm,task_load,outcome,unit_of_analysis,terminal_jobs,completed_jobs,failed_jobs,timeout_jobs,completion_rate,n,mean,median,std,p95,minimum,maximum
experiment2,CBAA,5,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,85.36,85.0,33.74378854405833,138.1,14.0,195.0
experiment2,CBAA,5,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,37.68,37.5,14.675315940693872,56.55,4.0,67.0
experiment2,ACBBA,5,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,123.34,116.5,53.07507582160753,227.39999999999992,15.0,257.0
experiment2,ACBBA,5,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,52.42,52.0,19.169586881946355,83.0,5.0,95.0
experiment2,PI,5,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,155.68,155.0,51.64614295020155,248.99999999999994,68.0,318.0
experiment2,PI,5,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,66.26,66.5,18.227373449214863,100.74999999999999,30.0,113.0
experiment2,HIPC,5,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,148.72,140.5,50.85274459311967,241.99999999999994,26.0,265.0
experiment2,HIPC,5,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,65.72,68.0,16.62189360267883,93.1,15.0,96.0
experiment2,DMCHBA,5,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,69.68,64.5,28.39620555278325,124.04999999999997,14.0,151.0
experiment2,DMCHBA,5,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,34.8,35.0,14.537776266524059,58.099999999999994,4.0,61.0
experiment2,DGA,5,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,95.98,93.0,35.1924678861595,147.1,26.0,165.0
experiment2,DGA,5,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,47.84,51.0,16.218356946399236,69.1,11.0,73.0
experiment2,CBAA,10,allocator_calls_total,scenario_trial,100,100,0,0,1.0,100,81.07,76.0,26.019516761947223,126.1,36.0,166.0
experiment2,CBAA,10,maximum_robot_allocator_calls,scenario_trial,100,100,0,0,1.0,100,30.35,29.0,10.597669841083277,49.05,11.0,60.0
experiment2,ACBBA,10,allocator_calls_total,scenario_trial,100,100,0,0,1.0,100,108.2,105.5,41.48773702230965,188.25,42.0,237.0
experiment2,ACBBA,10,maximum_robot_allocator_calls,scenario_trial,100,100,0,0,1.0,100,40.44,40.0,14.863907883721481,64.1,14.0,78.0
experiment2,PI,10,allocator_calls_total,scenario_trial,100,100,0,0,1.0,100,132.22,124.5,47.939477837723004,219.05,42.0,266.0
experiment2,PI,10,maximum_robot_allocator_calls,scenario_trial,100,100,0,0,1.0,100,54.37,53.0,18.89185330273664,89.1,14.0,110.0
