job_id,experiment,algorithm,task_load,scenario_id,scenario_index,layout_sha256,status,started_utc,elapsed_wall_s,worker_slot,cpu_affinity,worker_console_mode,allocator_implementation,planning_horizon_policy,bundle_length,commitment_horizon,dga_iterations_per_trigger,all_robots_unmoved,maximum_robot_call_time_ms,maximum_robot_call_time_ns,mean_robot_call_time_ms,mean_robot_call_time_ns,robot_count,simulated_time_before_movement_s,team_summed_call_time_ms,team_summed_call_time_ns
experiment1__cbaa__t05_s000,experiment1,CBAA,5,t05_s000,0,996b65c6a38acb0d9634437f603a1b10fc2c0eb40cce89a7e01d7c0481f94032,completed,2026-08-31T20:55:41+00:00,0.003210300114005804,0,unsupported,,,,,,,True,0.3724,372400,0.325125,325125.0,4,0.0,1.3005,1300500
experiment1__cbaa__t05_s001,experiment1,CBAA,5,t05_s001,1,a01ff1530625efa4b338d837a184fd5aafa90e1767e228b940e330cba799b0a0,completed,2026-08-31T20:55:40+00:00,0.0027260000351816416,1,unsupported,,,,,,,True,0.4387,438700,0.2642,264200.0,4,0.0,1.0568,1056800
experiment1__cbaa__t05_s002,experiment1,CBAA,5,t05_s002,2,d296499cde18dcd3e6b626aa74d192ebfd2441bbc51b00b9115ccb0be5dd9459,completed,2026-08-31T20:55:41+00:00,0.0015408000908792019,2,unsupported,,,,,,,True,0.1895,189500,0.14675,146750.0,4,0.0,0.587,587000
experiment1__cbaa__t05_s003,experiment1,CBAA,5,t05_s003,3,b03765dbeaaf81216591e6feb54caad0b191422e20d1474162f6f26655830c0e,completed,2026-08-31T20:55:41+00:00,0.001482199877500534,3,unsupported,,,,,,,True,0.1899,189900,0.14895,148950.0,4,0.0,0.5958,595800
experiment1__cbaa__t05_s004,experiment1,CBAA,5,t05_s004,4,b4874d10988b02accd5bf70bb403aafc35b828b0569b80d52239388a5266ada6,completed,2026-08-31T20:55:40+00:00,0.0049473000690341,4,unsupported,,,,,,,True,0.4356,435600,0.348925,348925.0,4,0.0,1.3957,1395700
experiment1__cbaa__t05_s005,experiment1,CBAA,5,t05_s005,5,fcd75fcf31dec956cacf4aba7f2bfed1a9029bcdb7875da3956888fdb16f1a02,completed,2026-08-31T20:55:41+00:00,0.0014788999687880278,5,unsupported,,,,,,,True,0.1848,184800,0.146675,146675.0,4,0.0,0.5867,586700
experiment1__cbaa__t05_s006,experiment1,CBAA,5,t05_s006,6,eb8b23e0bad16c0341777ae1f26fb80d19785f08cfa355af48fb8099bfb416d5,completed,2026-08-31T20:55:40+00:00,0.0034038000740110874,6,unsupported,,,,,,,True,0.5681,568100,0.3305,330500.0,4,0.0,1.322,1322000
experiment1__cbaa__t05_s007,experiment1,CBAA,5,t05_s007,7,e121657faa858dfdd63f18304aaf6697abddcf716ca3ce748fa0cbe1c3daf800,completed,2026-08-31T20:55:40+00:00,0.00470130005851388,7,unsupported,,,,,,,True,0.4835,483500,0.37245,372450.0,4,0.0,1.4898,1489800
experiment1__cbaa__t05_s008,experiment1,CBAA,5,t05_s008,8,86a474d245e34bb470e5ffdef1e8ab73d7a896c4bd2e8fde9a021a9501bcacde,completed,2026-08-31T20:55:40+00:00,0.0039049999322742224,8,unsupported,,,,,,,True,0.5538,553800,0.357425,357425.0,4,0.0,1.4297,1429700
experiment1__cbaa__t05_s009,experiment1,CBAA,5,t05_s009,9,be346691b7e3ee758238c28580e7f410f362a14e173214e292a97ce95afdce9a,completed,2026-08-31T20:55:40+00:00,0.0016777999699115753,9,unsupported,,,,,,,True,0.273,273000,0.187925,187925.0,4,0.0,0.7517,751700
experiment1__cbaa__t05_s010,experiment1,CBAA,5,t05_s010,10,6c5e0adc004e720b4912439c8466b5bcbba071a1df734cf54fd3ae7dbd12c7c7,completed,2026-08-31T20:55:41+00:00,0.0020862000528723,10,unsupported,,,,,,,True,0.2654,265400,0.229375,229375.0,4,0.0,0.9175,917500
experiment1__cbaa__t05_s011,experiment1,CBAA,5,t05_s011,11,88061883cab814bc2bf62197492d34840e000904dfdae4c9c75b015e0df9fc3a,completed,2026-08-31T20:55:41+00:00,0.0019140001386404037,11,unsupported,,,,,,,True,0.3052,305200,0.19685,196850.0,4,0.0,0.7874,787400
experiment1__cbaa__t05_s012,experiment1,CBAA,5,t05_s012,12,7131df590537a8e7a68384858d8ed8a21350e3a39f194e62db0d475d1bc4a815,completed,2026-08-31T20:55:42+00:00,0.0024747001007199287,7,unsupported,,,,,,,True,0.3707,370700,0.299975,299975.0,4,0.0,1.1999,1199900
experiment1__cbaa__t05_s013,experiment1,CBAA,5,t05_s013,13,71ed43311bfaccb3f8030f43d5a656c03248d4a16ce90908e5f376e89fb6785c,completed,2026-08-31T20:55:42+00:00,0.0022319999989122152,1,unsupported,,,,,,,True,0.2694,269400,0.210525,210525.0,4,0.0,0.8421,842100
experiment1__cbaa__t05_s014,experiment1,CBAA,5,t05_s014,14,282682625b472f0223ae6c44fc8fa37c7f17a79e7c05e8147696bc9f68504d5a,completed,2026-08-31T20:55:42+00:00,0.001398199936375022,8,unsupported,,,,,,,True,0.1857,185700,0.14505,145050.0,4,0.0,0.5802,580200
experiment1__cbaa__t05_s015,experiment1,CBAA,5,t05_s015,15,a540d7649ddcb6995905edc96bf36fa81943726a39daad9e4aee77f6e89ee85a,completed,2026-08-31T20:55:42+00:00,0.0020213997922837734,6,unsupported,,,,,,,True,0.2573,257300,0.197875,197875.0,4,0.0,0.7915,791500
experiment1__cbaa__t05_s016,experiment1,CBAA,5,t05_s016,16,e919026b13595e08ef7b2946c011a45d445773a1fb86e60f309e9ca1985b6a0c,completed,2026-08-31T20:55:42+00:00,0.0037315001245588064,4,unsupported,,,,,,,True,0.4214,421400,0.341,341000.0,4,0.0,1.364,1364000
experiment1__cbaa__t05_s017,experiment1,CBAA,5,t05_s017,17,210a15855dcf4c91b849dc65c1f152020a0a72eb4be6edae2bf23d612b0111a9,completed,2026-08-31T20:55:42+00:00,0.0019481999333947897,9,unsupported,,,,,,,True,0.306,306000,0.219975,219975.0,4,0.0,0.8799,879900
experiment1__cbaa__t05_s018,experiment1,CBAA,5,t05_s018,18,95be509ecd2f0fe2a78a358b95c987dfd878496a20dbcde09697c2e349fc59d1,completed,2026-08-31T20:55:42+00:00,0.002199500100687146,10,unsupported,,,,,,,True,0.25,250000,0.20165,201650.0,4,0.0,0.8066,806600
experiment1__cbaa__t05_s019,experiment1,CBAA,5,t05_s019,19,7bc9be352898a3fa614e72fbfbd15d136f5a642cec4bc9b59d735ab1e6c888ba,completed,2026-08-31T20:55:43+00:00,0.003486800007522106,0,unsupported,,,,,,,True,0.4484,448400,0.337925,337925.0,4,0.0,1.3517,1351700
experiment1__cbaa__t05_s020,experiment1,CBAA,5,t05_s020,20,03dfeee7ff2f144e0015a8169a9460c0b2a1f44e7df7ddcf27c9fa52653c5917,completed,2026-08-31T20:55:43+00:00,0.0035481001250445843,5,unsupported,,,,,,,True,0.5339,533900,0.357225,357225.0,4,0.0,1.4289,1428900
experiment1__cbaa__t05_s021,experiment1,CBAA,5,t05_s021,21,4701d0e2c1fdba3734ed56dc741e4969163701bd1c3d3f2453f20824c6495afb,completed,2026-08-31T20:55:43+00:00,0.0020276999566704035,11,unsupported,,,,,,,True,0.2828,282800,0.25155,251550.0,4,0.0,1.0062,1006200
experiment1__cbaa__t05_s022,experiment1,CBAA,5,t05_s022,22,8a6b83f4287ae9cd8c47e66278fa65f6e8b9dacca258572aa79ab6731b5a6219,completed,2026-08-31T20:55:43+00:00,0.0021194000728428364,3,unsupported,,,,,,,True,0.2784,278400,0.2048,204800.0,4,0.0,0.8192,819200
experiment1__cbaa__t05_s023,experiment1,CBAA,5,t05_s023,23,352bebcf12303ea725119ffed1e987e25bb267dd4f7da6ab4f692c1cd4f506be,completed,2026-08-31T20:55:43+00:00,0.0016683000139892101,2,unsupported,,,,,,,True,0.2024,202400,0.161725,161725.0,4,0.0,0.6469,646900
experiment1__cbaa__t05_s024,experiment1,CBAA,5,t05_s024,24,71cb84eb6e05c17524e32393c74404726630a7c76065c40e11d36bee3580f46b,completed,2026-08-31T20:55:44+00:00,0.0019672999624162912,7,unsupported,,,,,,,True,0.2255,225500,0.210475,210475.0,4,0.0,0.8419,841900
experiment1__cbaa__t05_s025,experiment1,CBAA,5,t05_s025,25,f2ea734593e5ec3334c70253825b93e0253330ed643a1f6a5ef05d48914719dc,completed,2026-08-31T20:55:44+00:00,0.001507400069385767,1,unsupported,,,,,,,True,0.1983,198300,0.1534,153400.0,4,0.0,0.6136,613600
experiment1__cbaa__t05_s026,experiment1,CBAA,5,t05_s026,26,29fc66e9fbb7a99dfe8efd0b85b5ab2258719397487f1c7a9254c3aa65a2d18d,completed,2026-08-31T20:55:45+00:00,0.0024325998965650797,8,unsupported,,,,,,,True,0.3638,363800,0.284125,284125.0,4,0.0,1.1365,1136500
experiment1__cbaa__t05_s027,experiment1,CBAA,5,t05_s027,27,144aaa93247a9dab3dcfdb7a01c5cb0e2c4feeff927c78fe2624f4d2b43765a4,completed,2026-08-31T20:55:45+00:00,0.0017944998107850552,6,unsupported,,,,,,,True,0.2278,227800,0.17875,178750.0,4,0.0,0.715,715000
experiment1__cbaa__t05_s028,experiment1,CBAA,5,t05_s028,28,76a508788f1e53c5a06528a8ffb1f10f92e9f040fa2d7b63fc5074b151e0df0f,completed,2026-08-31T20:55:45+00:00,0.002105700084939599,4,unsupported,,,,,,,True,0.2625,262500,0.220325,220325.0,4,0.0,0.8813,881300
experiment1__cbaa__t05_s029,experiment1,CBAA,5,t05_s029,29,3ff9adf587c1e795c9c6a528ccfb6cb60c4fe707440666c26d16726b3c905e12,completed,2026-08-31T20:55:45+00:00,0.0030121998861432076,9,unsupported,,,,,,,True,0.5132,513200,0.25435,254350.0,4,0.0,1.0174,1017400
experiment1__cbaa__t05_s030,experiment1,CBAA,5,t05_s030,30,e7457bc6ba5f086ddb7ec34ae0d7b9492c669b7fd24eebd1f79d1c012d028f69,completed,2026-08-31T20:55:45+00:00,0.003477499820291996,10,unsupported,,,,,,,True,0.3227,322700,0.23955,239550.0,4,0.0,0.9582,958200
