job_id,experiment,algorithm,task_load,scenario_id,scenario_index,layout_sha256,status,started_utc,elapsed_wall_s,worker_slot,cpu_affinity,worker_console_mode,allocator_implementation,planning_horizon_policy,bundle_length,commitment_horizon,dga_iterations_per_trigger,allocator_calls,allocator_time_max_ms,allocator_time_max_ns,allocator_time_median_ms,allocator_time_median_ns,allocator_time_p95_ms,allocator_time_p95_ns,allocator_time_total_ms,allocator_time_total_ns,robot_id,targets_completed,total_steps
experiment2__cbaa__t05_s000,experiment2,CBAA,5,t05_s000,0,996b65c6a38acb0d9634437f603a1b10fc2c0eb40cce89a7e01d7c0481f94032,completed,2026-08-31T21:08:06+00:00,0.05546519998461008,1,unsupported,,,,,,,67,0.2609,260900,0.1636,163600,0.239,239000.0,11.7697,11769700,00,0,4
experiment2__cbaa__t05_s000,experiment2,CBAA,5,t05_s000,0,996b65c6a38acb0d9634437f603a1b10fc2c0eb40cce89a7e01d7c0481f94032,completed,2026-08-31T21:08:06+00:00,0.05546519998461008,1,unsupported,,,,,,,5,0.2255,225500,0.0376,37600,0.2255,225500.0,0.5015,501500,01,2,23
experiment2__cbaa__t05_s000,experiment2,CBAA,5,t05_s000,0,996b65c6a38acb0d9634437f603a1b10fc2c0eb40cce89a7e01d7c0481f94032,completed,2026-08-31T21:08:06+00:00,0.05546519998461008,1,unsupported,,,,,,,63,0.2563,256300,0.1574,157400,0.2411,241100.0,10.7162,10716200,02,1,5
experiment2__cbaa__t05_s000,experiment2,CBAA,5,t05_s000,0,996b65c6a38acb0d9634437f603a1b10fc2c0eb40cce89a7e01d7c0481f94032,completed,2026-08-31T21:08:06+00:00,0.05546519998461008,1,unsupported,,,,,,,60,0.2486,248600,0.14545,145450.0,0.2383,238300.0,9.8249,9824900,03,2,6
experiment2__cbaa__t05_s001,experiment2,CBAA,5,t05_s001,1,a01ff1530625efa4b338d837a184fd5aafa90e1767e228b940e330cba799b0a0,completed,2026-08-31T21:08:06+00:00,0.051741200033575296,7,unsupported,,,,,,,17,0.3153,315300,0.2527,252700,0.3153,315300.0,4.1336,4133600,00,1,16
experiment2__cbaa__t05_s001,experiment2,CBAA,5,t05_s001,1,a01ff1530625efa4b338d837a184fd5aafa90e1767e228b940e330cba799b0a0,completed,2026-08-31T21:08:06+00:00,0.051741200033575296,7,unsupported,,,,,,,5,0.3079,307900,0.0465,46500,0.3079,307900.0,0.5961,596100,01,2,20
experiment2__cbaa__t05_s001,experiment2,CBAA,5,t05_s001,1,a01ff1530625efa4b338d837a184fd5aafa90e1767e228b940e330cba799b0a0,completed,2026-08-31T21:08:06+00:00,0.051741200033575296,7,unsupported,,,,,,,15,0.3343,334300,0.2191,219100,0.3343,334300.0,2.9178,2917800,02,0,17
experiment2__cbaa__t05_s001,experiment2,CBAA,5,t05_s001,1,a01ff1530625efa4b338d837a184fd5aafa90e1767e228b940e330cba799b0a0,completed,2026-08-31T21:08:06+00:00,0.051741200033575296,7,unsupported,,,,,,,5,0.2974,297400,0.1566,156600,0.2974,297400.0,0.7544,754400,03,2,19
experiment2__cbaa__t05_s002,experiment2,CBAA,5,t05_s002,2,d296499cde18dcd3e6b626aa74d192ebfd2441bbc51b00b9115ccb0be5dd9459,completed,2026-08-31T21:08:07+00:00,0.044444600120186806,4,unsupported,,,,,,,8,0.2382,238200,0.16,160000.0,0.2382,238200.0,1.1347,1134700,00,1,19
experiment2__cbaa__t05_s002,experiment2,CBAA,5,t05_s002,2,d296499cde18dcd3e6b626aa74d192ebfd2441bbc51b00b9115ccb0be5dd9459,completed,2026-08-31T21:08:07+00:00,0.044444600120186806,4,unsupported,,,,,,,26,0.2234,223400,0.1943,194300.0,0.2155,215500.0,4.5538,4553800,01,1,13
