stage,algorithm_key,candidate,metric_column,robust_score,average_improvement_pct,ideal_improvement_pct,bernoulli_improvement_pct,comm_disagreement_penalty,bad_comm_penalty,local_steepness,gap_from_best,within_plateau,chosen,ineligible_reason,n_ideal_paired,n_bernoulli_paired,excluded_all_zero_groups,incomplete_groups,plateau_epsilon,robust_disagreement_weight,robust_bad_comm_weight,robust_steepness_weight
clue_horizon,acbba,1,post_clue_steps_to_find,-2.47840908,-0.62646725,0.26598857,-1.51892306,1.78491164,1.51892306,2.00024482,3.50312582,False,False,horizon_1_reserved_for_non_bundle_cbaa,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,acbba,2,post_clue_steps_to_find,-3.75138522,-2.01293130,-1.97768919,-2.04817342,0.07048422,2.04817342,6.79125099,4.77610196,False,False,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,acbba,3,post_clue_steps_to_find,0.81018949,2.68326985,3.83223073,1.53430896,2.29792178,0.00000000,7.24119472,0.21452725,False,False,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,acbba,5,post_clue_steps_to_find,-0.86403928,2.32979582,4.96021859,-0.30062695,5.26084554,0.30062695,4.13098856,1.88875602,False,False,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,acbba,8,post_clue_steps_to_find,1.02471674,2.25102562,2.36136186,2.14068938,0.22067248,0.00000000,11.15972642,0.00000000,True,True,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,acbba,12,post_clue_steps_to_find,-15.85892665,-4.62469274,-9.44211057,0.19272509,9.63483566,9.44211057,16.95760800,16.88364339,False,False,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,dga,1,post_clue_steps_to_find,1.00588314,2.60662135,3.58958094,1.62366176,1.96591918,0.00000000,6.17778622,0.01348901,False,False,horizon_1_reserved_for_non_bundle_cbaa,247,245,106,2,0.05,0.5,0.5,0.1
clue_horizon,dga,2,post_clue_steps_to_find,-7.06124770,-1.67549375,-4.16649579,0.81550829,4.98200408,4.16649579,8.11504019,8.08061985,False,False,,247,245,106,2,0.05,0.5,0.5,0.1
clue_horizon,dga,3,post_clue_steps_to_find,1.01937215,2.40036078,3.08117722,1.71954435,1.36163287,0.00000000,7.00172197,0.00000000,True,True,,247,245,106,2,0.05,0.5,0.5,0.1
clue_horizon,dga,5,post_clue_steps_to_find,-2.51309535,0.38201223,2.03266562,-1.26864117,3.30130679,1.26864117,6.10133601,3.53246750,False,False,,247,245,106,2,0.05,0.5,0.5,0.1
clue_horizon,dga,8,post_clue_steps_to_find,-3.40182885,0.64631071,-1.58128129,2.87390271,4.45518400,1.58128129,10.29906917,4.42120100,False,False,,247,245,106,2,0.05,0.5,0.5,0.1
clue_horizon,dga,12,post_clue_steps_to_find,-9.88062552,-4.35981132,-2.95564670,-5.76397594,2.80832924,5.76397594,12.34661610,10.89999767,False,False,,247,245,106,2,0.05,0.5,0.5,0.1
clue_horizon,dmchba,1,post_clue_steps_to_find,-8.60581311,-4.53830446,-3.40780058,-5.66880834,2.26100776,5.66880834,1.02600601,11.39986075,False,False,horizon_1_reserved_for_non_bundle_cbaa,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,dmchba,2,post_clue_steps_to_find,-7.54408351,-3.82713128,-3.18277613,-4.47148643,1.28871030,4.47148643,8.36853865,10.33813115,False,False,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,dmchba,3,post_clue_steps_to_find,1.27212910,2.54315993,2.22711227,2.85920760,0.63209533,0.00000000,9.54983169,1.52191854,False,False,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,dmchba,5,post_clue_steps_to_find,2.79404764,4.27413961,3.29437609,5.25390312,1.95952702,0.00000000,5.00328452,0.00000000,True,True,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,dmchba,8,post_clue_steps_to_find,0.73469942,1.16366642,1.16168504,1.16564781,0.00396277,0.00000000,4.26985616,2.05934822,False,False,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,dmchba,12,post_clue_steps_to_find,-0.33106858,0.38446978,-0.09259669,0.86153625,0.95413294,0.09259669,1.92173538,3.12511622,False,False,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,hipc,1,post_clue_steps_to_find,-0.02316565,0.48378341,0.03380381,0.93376301,0.89995920,0.00000000,0.56969463,1.26273147,False,False,horizon_1_reserved_for_non_bundle_cbaa,246,247,106,1,0.05,0.5,0.5,0.1
clue_horizon,hipc,2,post_clue_steps_to_find,-0.87140326,0.08890119,-0.48231952,0.66012189,1.14244141,0.48231952,1.47923984,2.11096908,False,False,,246,247,106,1,0.05,0.5,0.5,0.1
clue_horizon,hipc,3,post_clue_steps_to_find,0.30806721,1.05747017,0.58406571,1.53087464,0.94680893,0.00000000,2.75998498,0.93149861,False,False,,246,247,106,1,0.05,0.5,0.5,0.1
clue_horizon,hipc,5,post_clue_steps_to_find,1.23956582,2.65695966,3.25401888,2.05990045,1.19411843,0.00000000,8.20334623,0.00000000,True,True,,246,247,106,1,0.05,0.5,0.5,0.1
clue_horizon,hipc,8,post_clue_steps_to_find,-8.59218135,-3.58257706,-2.11615413,-5.04900000,2.93284588,5.04900000,10.18681340,9.83174717,False,False,,246,247,106,1,0.05,0.5,0.5,0.1
clue_horizon,hipc,12,post_clue_steps_to_find,-2.61993407,-0.70453737,-1.27341476,-0.13565998,1.13775478,1.27341476,7.09811926,3.85949989,False,False,,246,247,106,1,0.05,0.5,0.5,0.1
clue_horizon,pi,1,post_clue_steps_to_find,-5.87649621,1.96675825,7.66293619,-3.72941969,11.39235589,3.72941969,2.82366672,5.55540221,False,False,horizon_1_reserved_for_non_bundle_cbaa,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,pi,2,post_clue_steps_to_find,-2.25843670,3.92397488,8.92753592,-1.07958616,10.00712209,1.07958616,6.39057451,1.93734269,False,False,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,pi,3,post_clue_steps_to_find,-0.32109400,1.56740221,2.53355162,0.60125280,1.93229882,0.00000000,9.22346800,0.00000000,True,True,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,pi,5,post_clue_steps_to_find,-0.37898406,3.93609218,0.56561110,7.30657326,6.74096216,0.00000000,9.44595161,0.05789006,False,False,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,pi,8,post_clue_steps_to_find,-3.91669154,-0.95309684,-1.48436702,-0.42182665,1.06254036,1.48436702,16.90141010,3.59559753,False,False,,247,247,106,0,0.05,0.5,0.5,0.1
clue_horizon,pi,12,post_clue_steps_to_find,-29.64793879,-10.44113068,-18.20526781,-2.67699354,15.52827427,18.20526781,23.40037071,29.32684478,False,False,,247,247,106,0,0.05,0.5,0.5,0.1
