scenario,file_role,full_file_path,file_name,row_count,column_count,selected,selection_reason,important_columns_found,duplicate_or_superseded,notes
Clue-Informed Probabilistic Search (CLIPS),system_performance,C:\Users\lottj\Desktop\research\decentralized benchmark\dcta_benchmark_sim\results\clue_search_core_500\combined\clue_search_core_500_combined_system_performance.csv,clue_search_core_500_combined_system_performance.csv,75000,50,1,"Primary CLIPS system metrics and message publish counts","trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,stage,environment,algorithm_key,commitment_horizon,comm_label,out_dir,run_id,failure_type,failure_message,debug_max_events",0,
Clue-Informed Probabilistic Search (CLIPS),trial_summary,C:\Users\lottj\Desktop\research\decentralized benchmark\dcta_benchmark_sim\results\clue_search_core_500\combined\clue_search_core_500_combined_trial_summary.csv,clue_search_core_500_combined_trial_summary.csv,75000,32,1,"CLIPS clue-first eligibility and trial identity checks","trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status,stage,environment,algorithm_key,commitment_horizon,comm_label,out_dir,run_id,failure_type,failure_message",0,
Clue-Informed Probabilistic Search (CLIPS),robot_performance,C:\Users\lottj\Desktop\research\decentralized benchmark\dcta_benchmark_sim\results\clue_search_core_500\combined\clue_search_core_500_combined_robot_performance.csv,clue_search_core_500_combined_robot_performance.csv,300000,39,1,"Robot-level max message and metric validation","trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status,stage,environment,algorithm_key,commitment_horizon,comm_label,out_dir,run_id,failure_type,failure_message",0,
Clue-Informed Probabilistic Search (CLIPS),condition_manifest,C:\Users\lottj\Desktop\research\decentralized benchmark\dcta_benchmark_sim\results\clue_search_core_500\combined\clue_search_core_500_combined_condition_manifest.csv,clue_search_core_500_combined_condition_manifest.csv,150,13,1,"CLIPS condition definitions and nominal communication labels","stage,environment,algorithm_key,algorithm,commitment_horizon,comm_label,comm_model,comm_level,scenario_file,out_dir,run_id,expected_trials,command",0,
Collaborative Visit (CV),system_performance,C:\Users\lottj\Desktop\research\decentralized benchmark\dcta_benchmark_sim\results\known_target_visit_core_500\combined\known_target_visit_core_500_combined_system_performance.csv,known_target_visit_core_500_combined_system_performance.csv,75000,52,1,"Primary known-target system metrics and target completion status","trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,trial_status,stage,environment,algorithm_key,commitment_horizon,dga_iterations,comm_label,out_dir,run_id",0,
Collaborative Visit (CV),trial_summary,C:\Users\lottj\Desktop\research\decentralized benchmark\dcta_benchmark_sim\results\known_target_visit_core_500\combined\known_target_visit_core_500_combined_trial_summary.csv,known_target_visit_core_500_combined_trial_summary.csv,75000,30,1,"Known-target scenario identity and mission completion checks","trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status,stage,environment,algorithm_key,commitment_horizon,dga_iterations,comm_label,out_dir,run_id",0,
Collaborative Visit (CV),robot_performance,C:\Users\lottj\Desktop\research\decentralized benchmark\dcta_benchmark_sim\results\known_target_visit_core_500\combined\known_target_visit_core_500_combined_robot_performance.csv,known_target_visit_core_500_combined_robot_performance.csv,300000,38,1,"Robot-level max message and target completion balance validation","trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,trial_status,stage,environment,algorithm_key,commitment_horizon,dga_iterations,comm_label,out_dir,run_id",0,
Collaborative Visit (CV),condition_manifest,C:\Users\lottj\Desktop\research\decentralized benchmark\dcta_benchmark_sim\results\known_target_visit_core_500\combined\known_target_visit_core_500_combined_condition_manifest.csv,known_target_visit_core_500_combined_condition_manifest.csv,150,14,1,"Known-target condition definitions and nominal communication labels","stage,environment,algorithm_key,algorithm,commitment_horizon,dga_iterations,comm_label,comm_model,comm_level,scenario_file,out_dir,run_id,expected_trials,command",0,
Collaborative Visit (CV),target_performance_part,C:\Users\lottj\Desktop\research\decentralized benchmark\dcta_benchmark_sim\results\known_target_visit_core_500\combined\target_performance_part_001.csv,target_performance_part_001.csv,NaN,NaN,0,"Not loaded for metric calculation because duplicate visits and first-completion balance are available in validated system/robot summaries","first_finder_robot_id,total_visits,duplicate_visits,completed",0,Part files are documented but not appended to avoid unnecessary duplication of summary metrics.
Collaborative Visit (CV),target_performance_part,C:\Users\lottj\Desktop\research\decentralized benchmark\dcta_benchmark_sim\results\known_target_visit_core_500\combined\target_performance_part_002.csv,target_performance_part_002.csv,NaN,NaN,0,"Not loaded for metric calculation because duplicate visits and first-completion balance are available in validated system/robot summaries","first_finder_robot_id,total_visits,duplicate_visits,completed",0,Part files are documented but not appended to avoid unnecessary duplication of summary metrics.
