trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
10,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(2,4);(12,12);(11,9);(7,13);(9,8);(4,10);(2,8);(3,2);(12,9);(5,6)",10,True,72.16922780745323,72.16922780745323,00:10,"(0,6)","(7,13)",94,0,completed
11,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(5,6);(11,1);(7,4);(7,5);(2,4);(13,2);(12,13);(5,11);(10,10);(4,5)",10,True,83.23680897202277,83.23680897202277,00:10,"(0,6)","(5,11)",108,0,completed
12,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(11,0);(6,2);(6,7);(9,9);(10,7);(1,7);(12,4);(6,9);(1,12);(4,6)",10,True,86.32323905694123,86.32323905694123,00:10,"(0,6)","(1,12)",112,0,completed
13,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(5,13);(11,13);(13,13);(8,10);(2,7);(6,3);(12,3);(5,3);(8,11);(3,6)",10,True,87.66618890938214,87.66618890938214,00:10,"(0,6)","(5,13)",113,0,completed
14,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(9,0);(8,8);(0,11);(1,3);(2,2);(7,10);(7,13);(3,4);(0,5);(9,1)",10,True,92.26251148655653,92.26251148655653,00:10,"(0,6)","(9,0)",119,0,completed
15,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(5,0);(2,10);(7,8);(9,1);(12,1);(12,0);(9,6);(4,2);(11,10);(10,7)",10,True,91.40103233467237,91.40103233467237,00:10,"(0,6)","(11,10)",119,0,completed
16,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(7,12);(0,12);(9,0);(9,1);(11,10);(12,3);(4,9);(9,4);(5,13);(7,7)",10,True,88.18382000874837,88.18382000874837,00:10,"(0,6)","(12,3)",113,0,completed
17,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(6,9);(0,5);(4,4);(9,9);(12,11);(4,0);(2,1);(10,11);(12,8);(13,8)",10,True,64.5451515718767,64.5451515718767,00:10,"(0,6)","(13,8)",84,0,completed
18,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(2,4);(6,13);(10,11);(2,3);(3,10);(0,12);(10,5);(2,9);(8,0);(8,13)",10,True,81.02656692235003,81.02656692235003,00:10,"(0,6)","(8,0)",104,0,completed
19,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(12,11);(9,2);(8,8);(4,9);(2,8);(12,10);(10,10);(0,2);(7,12);(2,10)",10,True,95.49769856666965,95.49769856666965,00:10,"(0,6)","(12,11)",121,0,completed
20,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(6,13);(7,2);(1,5);(10,1);(13,1);(0,3);(13,12);(6,11);(11,13);(7,5)",10,True,81.21988490894039,81.21988490894039,00:10,"(0,6)","(10,1)",104,0,completed
21,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(11,13);(11,4);(10,4);(3,13);(3,4);(1,8);(6,6);(4,13);(4,6);(4,7)",10,True,73.648216903908,73.648216903908,00:10,"(0,6)","(3,13)",96,0,completed
22,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(9,3);(6,13);(6,9);(7,1);(9,10);(7,13);(11,3);(13,12);(8,3);(1,3)",10,True,77.48428764870258,77.48428764870258,00:10,"(0,6)","(13,12)",99,0,completed
23,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(1,12);(12,4);(13,3);(7,10);(11,8);(10,5);(5,12);(8,6);(1,4);(10,9)",10,True,81.56397071788116,81.56397071788116,00:10,"(0,6)","(8,6)",109,0,completed
24,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(12,9);(8,2);(6,8);(2,3);(5,13);(4,1);(9,13);(2,12);(7,10);(13,1)",10,True,96.92104384390389,96.92104384390389,00:10,"(0,6)","(2,12)",126,0,completed
25,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(10,0);(10,12);(7,13);(6,5);(11,7);(2,13);(5,0);(7,10);(4,5);(11,10)",10,True,89.45245283608769,89.45245283608769,00:10,"(0,6)","(2,13)",117,0,completed
26,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(12,11);(13,2);(11,1);(4,5);(5,4);(5,2);(13,8);(11,11);(9,3);(6,2)",10,True,55.69076149512424,55.69076149512424,00:10,"(0,6)","(11,11)",74,0,completed
27,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(3,1);(2,9);(5,12);(0,7);(10,6);(8,2);(6,4);(6,6);(5,7);(7,7)",10,True,85.93348082070966,85.93348082070966,00:10,"(0,6)","(3,1)",111,0,completed
28,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(5,13);(1,1);(2,13);(0,3);(13,0);(12,8);(2,4);(3,6);(8,13);(8,5)",10,True,113.17881543806249,113.17881543806249,00:10,"(0,6)","(12,8)",143,0,completed
29,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(12,8);(9,11);(4,4);(4,6);(13,0);(11,10);(6,7);(2,3);(4,8);(1,4)",10,True,64.6112124688058,64.6112124688058,00:10,"(0,6)","(13,0)",85,0,completed
30,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(1,12);(10,2);(10,12);(11,9);(3,8);(0,5);(7,13);(11,1);(6,0);(12,8)",10,True,81.15686092609882,81.15686092609882,00:10,"(0,6)","(6,0)",105,0,completed
31,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(4,6);(2,5);(13,10);(8,8);(11,10);(5,8);(4,7);(12,6);(3,4);(9,11)",10,True,49.14218051782077,49.14218051782077,00:10,"(0,6)","(12,6)",66,0,completed
32,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(4,1);(1,11);(4,7);(3,6);(13,6);(6,6);(2,0);(7,2);(9,13);(9,1)",10,True,99.36483400275974,99.36483400275974,00:10,"(0,6)","(13,6)",125,0,completed
33,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(6,9);(12,0);(11,9);(11,1);(10,10);(8,8);(4,0);(11,12);(4,5);(4,1)",10,True,78.72025177499864,78.72025177499864,00:10,"(0,6)","(6,9)",103,0,completed
34,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(12,13);(12,9);(5,10);(3,11);(7,5);(8,4);(6,1);(3,2);(3,6);(0,2)",10,True,84.61654075278226,84.61654075278226,00:10,"(0,6)","(12,9)",109,0,completed
35,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(4,12);(13,13);(2,3);(5,8);(8,7);(10,5);(9,12);(2,2);(12,4);(0,5)",10,True,80.94547840642919,80.94547840642919,00:10,"(0,6)","(4,12)",106,0,completed
36,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(3,6);(0,7);(13,2);(7,4);(10,9);(5,12);(7,6);(4,6);(9,9);(2,1)",10,True,91.78522054420837,91.78522054420837,00:10,"(0,6)","(13,2)",119,0,completed
37,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(0,7);(9,11);(1,13);(7,11);(1,11);(9,9);(7,5);(6,1);(8,8);(11,0)",10,True,65.10249124044735,65.10249124044735,00:10,"(0,6)","(11,0)",86,0,completed
38,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(7,6);(0,7);(5,10);(11,13);(3,9);(13,2);(7,4);(8,0);(12,1);(9,12)",10,True,78.62177161605896,78.62177161605896,00:10,"(0,6)","(9,12)",101,0,completed
39,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(2,10);(6,5);(0,10);(0,7);(8,2);(9,8);(9,12);(2,11);(8,13);(6,13)",10,True,55.47000010693986,55.47000010693986,00:10,"(0,6)","(8,2)",72,0,completed
40,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(3,7);(0,7);(3,10);(8,3);(3,13);(13,8);(12,6);(7,9);(3,11);(0,11)",10,True,71.65957337272683,71.65957337272683,00:10,"(0,6)","(13,8)",92,0,completed
41,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(8,8);(4,5);(1,2);(8,4);(5,1);(12,13);(0,11);(6,4);(8,12);(0,1)",10,True,99.044868680628,99.044868680628,00:10,"(0,6)","(4,5)",127,0,completed
42,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(4,10);(1,2);(0,5);(12,9);(11,12);(12,5);(2,11);(2,9);(11,3);(10,9)",10,True,74.64140591784187,74.64140591784187,00:10,"(0,6)","(11,12)",95,0,completed
43,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(10,3);(7,8);(2,10);(9,0);(6,10);(12,0);(4,9);(1,1);(13,13);(10,9)",10,True,97.50932588177784,97.50932588177784,00:10,"(0,6)","(13,13)",126,0,completed
44,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(2,10);(7,12);(9,9);(2,1);(6,5);(9,13);(1,13);(13,10);(12,1);(8,6)",10,True,105.90259361508117,105.90259361508117,00:10,"(0,6)","(13,10)",135,0,completed
45,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(12,12);(6,8);(8,8);(2,10);(8,1);(0,1);(4,13);(11,0);(2,1);(3,3)",10,True,93.89570724525863,93.89570724525863,00:10,"(0,6)","(12,12)",119,0,completed
46,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(13,3);(10,11);(4,13);(3,12);(11,9);(9,1);(4,3);(12,6);(6,9);(13,11)",10,True,92.06004251617898,92.06004251617898,00:10,"(0,6)","(3,12)",119,0,completed
47,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(3,2);(7,13);(2,5);(4,2);(0,10);(11,0);(10,1);(9,5);(2,2);(10,10)",10,True,80.16418140517706,80.16418140517706,00:10,"(0,6)","(0,10)",103,0,completed
48,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(1,2);(4,0);(6,0);(9,13);(5,13);(6,7);(13,1);(2,11);(6,12);(11,1)",10,True,92.68158673054396,92.68158673054396,00:10,"(0,6)","(2,11)",118,0,completed
49,known_visit,PI,bernoulli,drop_0.25,14,196,1,10,pi_g14_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(3,12);(2,1);(5,3);(7,11);(8,5);(1,0);(5,12);(11,0);(2,5);(1,8)",10,True,86.71870769166765,86.71870769166765,00:10,"(0,6)","(11,0)",112,0,completed
