stage,algorithm_key,candidate,metric_column,robust_score,average_improvement_pct,ideal_improvement_pct,bernoulli_improvement_pct,comm_disagreement_penalty,bad_comm_penalty,local_steepness,gap_from_best,within_plateau,chosen,ineligible_reason,n_ideal_paired,n_bernoulli_paired,excluded_all_zero_groups,incomplete_groups,plateau_epsilon,robust_disagreement_weight,robust_bad_comm_weight,robust_steepness_weight
coverage_horizon,acbba,1,total_team_steps,1.30414221,2.54984752,1.76724250,3.33245255,1.56521005,0.00000000,4.63100290,-0.40403339,False,False,horizon_1_reserved_for_non_bundle_cbaa,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,acbba,2,total_team_steps,-2.77662609,1.27436672,3.70172830,-1.15299485,4.85472315,1.15299485,10.47133807,3.67673490,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,acbba,3,total_team_steps,-9.75251945,-1.51444936,-5.70090213,2.67200342,8.37290555,5.70090213,12.01166251,10.65262827,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,acbba,5,total_team_steps,0.90010882,2.42485998,1.66347358,3.18624638,1.52277280,0.00000000,7.63364762,0.00000000,True,True,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,acbba,8,total_team_steps,-6.07729968,-1.12631987,1.34299432,-3.59563405,4.93862837,3.59563405,6.83848600,6.97740849,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,acbba,12,total_team_steps,-7.27524302,-3.60830500,-2.77453656,-4.44207345,1.66753688,4.44207345,6.12132854,8.17535184,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,dga,1,total_team_steps,-3.87606230,-1.63863489,-2.41467439,-0.86259540,1.55207898,2.41467439,2.54050718,4.15471538,False,False,horizon_1_reserved_for_non_bundle_cbaa,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,dga,2,total_team_steps,-1.26823159,0.12231049,0.96292366,-0.71830267,1.68122633,0.71830267,1.90777586,1.54688468,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,dga,3,total_team_steps,0.13907031,0.63929656,1.04439834,0.23419479,0.81020355,0.00000000,0.95124477,0.13958278,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,dga,5,total_team_steps,0.27865309,0.95981154,1.40814462,0.51147847,0.89666615,0.00000000,2.32825383,0.00000000,True,True,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,dga,8,total_team_steps,-3.85088258,-0.82543825,-2.27077925,0.61990274,2.89068199,2.27077925,4.44713703,4.12953566,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,dga,12,total_team_steps,-0.27119906,0.74265455,1.26998702,0.21532208,1.05466495,0.00000000,4.86521141,0.54985215,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,dmchba,1,total_team_steps,-0.62831065,4.67155088,9.42294769,-0.07984593,9.50279362,0.07984593,5.08541758,1.43119253,False,False,horizon_1_reserved_for_non_bundle_cbaa,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,dmchba,2,total_team_steps,0.26213970,1.85731703,3.08377098,0.63086308,2.45290790,0.00000000,3.68723379,0.54074218,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,dmchba,3,total_team_steps,0.80288188,1.39212601,1.69045006,1.09380196,0.59664810,0.00000000,2.90920087,0.00000000,True,True,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,dmchba,5,total_team_steps,-2.57806858,-0.41075730,-1.45592433,0.63440973,2.09033406,1.45592433,3.94182079,3.38095045,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,dmchba,8,total_team_steps,-7.79604398,-2.45728932,-4.83883032,-0.07574832,4.76308200,4.83883032,5.37798504,8.59892585,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,dmchba,12,total_team_steps,-12.49378914,-5.05294730,-7.90241408,-2.20348052,5.69893356,7.90241408,6.40168026,13.29667102,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,hipc,1,total_team_steps,0.52596872,1.45741394,0.64134432,2.27348356,1.63213925,0.00000000,1.15375598,0.60848456,False,False,horizon_1_reserved_for_non_bundle_cbaa,46,50,0,4,0.05,0.5,0.5,0.1
coverage_horizon,hipc,2,total_team_steps,0.13125587,0.65769123,0.31889790,0.99648457,0.67758666,0.00000000,1.87642035,1.00319740,False,False,,46,50,0,4,0.05,0.5,0.5,0.1
coverage_horizon,hipc,3,total_team_steps,1.13445327,1.71152940,1.42818922,1.99486958,0.56668035,0.00000000,2.93735949,0.00000000,True,True,,46,50,0,4,0.05,0.5,0.5,0.1
coverage_horizon,hipc,5,total_team_steps,-1.51279440,0.03825148,0.91789711,-0.84139415,1.75929125,0.84139415,2.50703183,2.64724768,False,False,,46,50,0,4,0.05,0.5,0.5,0.1
coverage_horizon,hipc,8,total_team_steps,-0.83954375,-0.14533377,-0.08275626,-0.20791127,0.12515501,0.20791127,5.27676845,1.97399702,False,False,,46,50,0,4,0.05,0.5,0.5,0.1
coverage_horizon,hipc,12,total_team_steps,-7.20480918,-3.71955228,-3.22357228,-4.21553229,0.99196001,4.21553229,8.81510750,8.33926245,False,False,,46,50,0,4,0.05,0.5,0.5,0.1
coverage_horizon,pi,1,total_team_steps,7.35577601,9.77353711,8.34487657,11.20219764,2.85732107,0.00000000,9.89100560,0.00000000,True,True,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,pi,2,total_team_steps,1.32067420,2.91761446,3.40515442,2.43007450,0.97507992,0.00000000,11.09400303,6.03510181,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
coverage_horizon,pi,3,total_team_steps,-4.04746687,-2.06839016,-2.16250163,-1.97427869,0.18822294,2.16250163,8.03714432,11.40324288,False,False,,50,50,0,0,0.05,0.5,0.5,0.1
