stage,algorithm_key,candidate,final_score,ideal_mean,bernoulli_mean,gap_from_best,within_plateau,chosen,n_ideal_paired,n_bernoulli_paired,plateau_epsilon
clue_horizon,acbba,1,1.33081953,1.30554031,1.35609875,0.00000000,True,True,300,300,0.005
clue_horizon,acbba,2,1.34995302,1.31782391,1.38208213,0.01913349,False,False,300,300,0.005
clue_horizon,acbba,3,1.34665493,1.31246181,1.38084805,0.01583540,False,False,300,300,0.005
clue_horizon,acbba,5,1.34212798,1.29693709,1.38731887,0.01130845,False,False,300,300,0.005
clue_horizon,acbba,8,1.34084727,1.30172765,1.37996688,0.01002774,False,False,300,300,0.005
clue_horizon,acbba,12,1.38339875,1.37213598,1.39466153,0.05257923,False,False,300,300,0.005
clue_horizon,dga,1,1.70515489,1.60495378,1.80535599,0.02432354,False,False,300,298,0.005
clue_horizon,dga,2,1.69541784,1.62175391,1.76908177,0.01458649,False,False,300,298,0.005
clue_horizon,dga,3,1.70308910,1.59456159,1.81161661,0.02225775,False,False,300,298,0.005
clue_horizon,dga,5,1.68083135,1.53947149,1.82219120,0.00000000,True,True,300,298,0.005
clue_horizon,dga,8,1.70602630,1.58990585,1.82214675,0.02519495,False,False,300,298,0.005
clue_horizon,dga,12,1.75622985,1.64181800,1.87064171,0.07539850,False,False,300,298,0.005
clue_horizon,dmchba,1,1.38062273,1.34192786,1.41931760,0.06307778,False,False,300,300,0.005
clue_horizon,dmchba,2,1.42030280,1.37305842,1.46754718,0.10275785,False,False,300,300,0.005
clue_horizon,dmchba,3,1.31754495,1.30924706,1.32584284,0.00000000,True,True,300,300,0.005
clue_horizon,dmchba,5,1.33690667,1.32451787,1.34929547,0.01936172,False,False,300,300,0.005
clue_horizon,dmchba,8,1.40043893,1.37986447,1.42101340,0.08289398,False,False,300,300,0.005
clue_horizon,dmchba,12,1.36238504,1.36419205,1.36057803,0.04484009,False,False,300,300,0.005
clue_horizon,hipc,1,1.26371582,1.21838094,1.30905071,0.00643715,False,False,299,300,0.005
clue_horizon,hipc,2,1.27222761,1.24908456,1.29537066,0.01494893,False,False,299,300,0.005
clue_horizon,hipc,3,1.28139926,1.24961446,1.31318406,0.02412059,False,False,299,300,0.005
clue_horizon,hipc,5,1.26021422,1.22412545,1.29630299,0.00293554,True,True,299,300,0.005
clue_horizon,hipc,8,1.31029587,1.26251822,1.35807353,0.05301720,False,False,299,300,0.005
clue_horizon,hipc,12,1.25727868,1.23830762,1.27624974,0.00000000,True,False,299,300,0.005
clue_horizon,pi,1,1.39812570,1.34939486,1.44685655,0.00000000,True,True,300,300,0.005
clue_horizon,pi,2,1.44681359,1.48773648,1.40589069,0.04868788,False,False,300,300,0.005
clue_horizon,pi,3,1.45943983,1.53129977,1.38757988,0.06131412,False,False,300,300,0.005
clue_horizon,pi,5,1.47815479,1.50041455,1.45589504,0.08002909,False,False,300,300,0.005
clue_horizon,pi,8,1.51594243,1.57593076,1.45595409,0.11781673,False,False,300,300,0.005
clue_horizon,pi,12,1.57495656,1.72194135,1.42797176,0.17683085,False,False,300,300,0.005
