stage,algorithm_key,candidate,metric_column,robust_score,average_improvement_pct,ideal_improvement_pct,bernoulli_improvement_pct,comm_disagreement_penalty,bad_comm_penalty,local_steepness,gap_from_best,within_plateau,chosen,ineligible_reason,n_ideal_paired,n_bernoulli_paired,excluded_all_zero_groups,incomplete_groups,plateau_epsilon,robust_disagreement_weight,robust_bad_comm_weight,robust_steepness_weight
known_horizon,acbba,1,total_team_steps,-22.49211351,-4.76972448,-14.27512500,4.73567605,19.01080105,14.27512500,10.79426004,23.10940969,False,False,horizon_1_reserved_for_non_bundle_cbaa,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,acbba,2,total_team_steps,-3.06739123,2.71228644,-1.35850444,6.78307731,8.14158175,1.35850444,10.29634572,3.68468740,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,acbba,3,total_team_steps,0.61729618,1.59007014,1.49220131,1.68793897,0.19573766,0.00000000,8.74905134,0.00000000,True,True,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,acbba,5,total_team_steps,-7.49782579,-0.81021327,3.02510729,-4.64553383,7.67064112,4.64553383,5.29525042,8.11512197,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,acbba,8,total_team_steps,-6.27292407,0.54848711,5.12642416,-4.02944993,9.15587409,4.02944993,2.28749165,6.89022024,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,acbba,12,total_team_steps,-6.96597823,0.72909406,5.98989669,-4.53170857,10.52160525,4.53170857,1.68415375,7.58327440,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,dga,1,total_team_steps,2.27418020,3.48135023,2.80266193,4.16003853,1.35737660,0.00000000,5.28481721,-2.91761991,False,False,horizon_1_reserved_for_non_bundle_cbaa,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,dga,2,total_team_steps,-2.11415276,-0.18180592,-1.15591858,0.79230673,1.94822531,1.15591858,3.80274884,1.47071305,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,dga,3,total_team_steps,-0.64343971,-0.23748284,-0.27064054,-0.20432514,0.06631540,0.27064054,2.37478903,0.00000000,True,True,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,dga,5,total_team_steps,-3.96556715,-1.30642774,-0.09884232,-2.51401317,2.41517085,2.51401317,1.94547393,3.32212744,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,dga,8,total_team_steps,-2.32511250,-0.93468362,-0.41426713,-1.45510011,1.04083298,1.45510011,1.42462335,1.68167279,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,dga,12,total_team_steps,-1.43320968,-0.82095010,-0.86299336,-0.77890684,0.08408652,0.86299336,1.38719644,0.78976997,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,dmchba,1,total_team_steps,0.27022728,0.73221035,0.41328714,1.05113355,0.63784641,0.00000000,1.43059860,-0.45170704,False,False,horizon_1_reserved_for_non_bundle_cbaa,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,dmchba,2,total_team_steps,-0.60651889,-0.25940503,-0.17139646,-0.34741361,0.17601715,0.34741361,0.85398481,0.42503913,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,dmchba,3,total_team_steps,-0.33463292,-0.18721106,-0.21166676,-0.16275536,0.04891139,0.21166676,0.17132781,0.15315316,True,True,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,dmchba,5,total_team_steps,-0.37484425,-0.22056010,-0.23618509,-0.20493512,0.03124997,0.23618509,0.20566621,0.19336450,True,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,dmchba,8,total_team_steps,-0.37901015,-0.08542124,0.06159751,-0.23243999,0.29403750,0.23243999,0.30350164,0.19753039,True,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,dmchba,12,total_team_steps,-0.18147976,0.02038709,0.14436365,-0.10358947,0.24795313,0.10358947,0.26095545,0.00000000,True,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,hipc,1,total_team_steps,-39.95669315,-23.79749116,-25.12122300,-22.47375933,2.64746367,25.12122300,22.74858653,49.42397113,False,False,horizon_1_reserved_for_non_bundle_cbaa,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,hipc,2,total_team_steps,-16.18674664,-8.02937255,-9.23340306,-6.82534203,2.40806103,9.23340306,23.36642045,25.65402463,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,hipc,3,total_team_steps,-0.73547826,1.69540574,1.19070622,2.20010526,1.00939905,0.00000000,19.26184476,10.20275624,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,hipc,5,total_team_steps,7.76844537,9.12252177,9.59985558,8.64518797,0.95466761,0.00000000,8.76742594,1.69883261,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,hipc,8,total_team_steps,9.46727799,10.53037850,11.32446892,9.73628809,1.58818083,0.00000000,2.69010102,0.00000000,True,True,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,hipc,12,total_team_steps,8.47904151,10.47855769,12.23959535,8.71752004,3.52207531,0.00000000,2.38478532,0.98823648,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
known_horizon,pi,1,total_team_steps,-29.34755065,-9.08787619,-18.80744842,0.63169605,19.43914447,18.80744842,11.36378016,29.57091671,False,False,,300,300,0,0,0.2,0.5,0.5,0.1
