trial_id,target1_x,target1_y,target2_x,target2_y,target3_x,target3_y,target4_x,target4_y,target5_x,target5_y,target6_x,target6_y,target7_x,target7_y,target8_x,target8_y,target9_x,target9_y,target10_x,target10_y
0,20,5,28,1,11,25,20,24,25,8,3,5,1,16,23,30,33,13,24,22
1,19,17,14,6,17,16,16,15,5,33,11,30,26,23,24,33,27,21,19,32
2,3,32,26,0,14,7,19,20,29,15,24,23,11,8,21,32,22,8,10,12
3,18,8,19,29,2,31,11,10,20,22,32,21,14,23,9,2,6,3,3,22
4,17,0,33,1,26,29,15,17,9,10,17,18,23,29,13,30,6,0,29,29
5,21,6,4,2,16,26,9,17,5,0,19,7,31,31,15,20,30,27,22,11
6,21,15,1,18,14,25,6,19,4,11,20,18,16,2,23,22,33,20,23,9
7,11,6,22,28,9,12,33,20,16,10,15,3,24,5,9,8,18,10,4,26
8,10,22,29,12,29,17,17,15,11,32,24,29,25,3,5,8,6,23,18,30
9,18,24,6,0,2,8,22,15,23,3,22,26,14,7,29,27,31,19,17,25
10,20,19,15,13,2,29,13,8,25,22,16,8,33,10,18,14,21,31,22,25
11,8,17,25,27,1,25,17,1,15,15,3,19,24,17,16,12,29,24,1,26
12,14,20,19,27,26,11,31,30,14,13,20,1,19,12,15,5,9,27,20,0
13,23,7,10,3,25,1,19,9,30,19,5,13,33,25,27,18,14,17,22,31
14,26,21,19,17,30,30,23,1,28,33,8,20,30,13,19,15,2,18,33,8
15,32,18,21,0,3,27,7,8,33,29,20,7,6,0,20,31,24,30,16,32
16,16,14,9,22,26,13,4,24,11,9,20,7,27,16,21,13,22,30,32,17
17,20,0,19,24,12,18,21,27,17,8,5,23,14,25,33,9,29,21,16,3
18,24,8,28,25,26,24,29,0,11,25,24,19,20,9,22,16,12,3,25,17
19,23,5,13,19,29,20,27,28,8,21,15,14,16,1,3,33,31,23,17,0
20,25,17,12,20,15,28,23,12,29,15,14,15,22,2,8,23,8,5,6,15
21,11,8,23,31,2,2,6,23,14,22,4,6,4,29,11,19,21,7,12,20
22,4,33,25,14,3,12,29,19,27,15,23,6,8,32,20,20,1,3,11,6
23,10,9,25,12,25,5,9,33,21,9,1,11,15,22,32,25,21,17,8,30
24,23,33,33,23,1,17,21,0,25,13,27,31,18,4,27,17,32,19,3,31
25,32,21,8,16,30,7,5,9,22,7,18,25,29,31,27,12,19,0,24,26
26,14,25,5,4,32,8,33,26,24,17,11,21,11,7,10,4,2,1,20,3
27,15,17,5,32,24,32,22,27,2,14,5,15,32,12,8,27,25,24,2,19
28,2,6,25,6,29,4,10,13,23,2,8,33,16,32,26,14,25,17,25,7
29,18,19,10,33,7,0,1,33,14,31,4,1,7,26,14,5,10,12,11,32
30,28,8,23,15,28,19,29,4,20,7,12,22,24,15,31,25,5,5,16,22
31,20,2,20,12,17,22,30,16,28,19,16,4,21,16,20,3,29,9,13,22
32,25,22,19,16,2,33,17,21,19,27,24,25,25,6,21,15,25,24,15,28
33,23,9,4,26,3,32,30,6,2,30,28,32,17,6,19,11,12,26,32,17
34,20,6,10,3,14,22,18,33,24,22,31,5,18,6,8,9,25,33,33,2
35,28,9,30,28,32,28,18,24,17,11,2,10,29,33,11,11,7,15,32,5
36,5,4,26,16,29,17,13,10,4,1,2,3,15,3,22,12,27,4,20,15
37,15,29,6,3,21,27,10,13,10,26,2,28,23,10,17,23,4,17,29,22
38,33,12,33,15,22,7,30,10,5,19,27,13,8,8,12,28,15,2,11,8
39,16,17,20,16,23,6,25,15,29,27,23,8,31,13,19,24,9,4,2,18
40,32,32,5,25,3,23,6,31,15,13,23,16,32,13,22,26,29,33,12,11
41,33,3,19,23,29,19,7,29,14,33,20,2,30,25,14,25,7,1,1,27
42,11,32,21,13,10,16,12,22,27,14,2,23,27,21,16,7,20,21,8,9
43,7,22,30,0,14,3,15,1,10,17,9,7,13,30,3,2,15,8,3,9
44,3,4,15,1,20,24,31,27,14,31,10,3,12,24,10,10,19,1,16,16
45,26,4,12,4,11,3,14,27,2,22,3,27,23,24,17,9,3,17,5,4
46,31,2,30,4,6,23,25,14,11,33,30,8,24,32,18,16,22,3,15,22
47,15,14,27,28,25,15,13,23,20,25,2,3,4,21,6,13,1,2,15,15
48,22,6,6,16,29,12,27,23,15,4,4,31,13,6,9,23,16,17,20,3
49,13,7,7,5,30,25,2,21,18,24,2,2,24,30,11,27,11,1,14,12
