trial_id,target1_x,target1_y,target2_x,target2_y,target3_x,target3_y,target4_x,target4_y,target5_x,target5_y,target6_x,target6_y,target7_x,target7_y,target8_x,target8_y,target9_x,target9_y,target10_x,target10_y
0,2,13,13,1,5,17,8,3,1,6,12,13,15,15,10,3,14,4,17,0
1,11,9,17,15,15,3,11,10,11,14,7,15,0,17,7,1,5,0,14,3
2,12,16,18,6,17,7,6,13,2,15,12,0,15,2,4,14,9,11,5,3
3,1,13,13,13,12,3,17,18,16,3,14,6,7,15,10,1,13,15,10,10
4,8,9,4,2,12,9,14,3,2,12,12,1,5,17,6,1,2,15,8,16
5,11,3,11,15,17,18,6,10,11,6,14,0,14,2,2,17,3,13,10,13
6,2,3,9,7,10,17,18,9,11,7,17,18,12,8,4,16,16,1,13,15
7,4,0,9,6,12,13,13,18,0,1,2,12,14,3,4,2,9,13,8,16
8,6,14,17,0,15,18,5,4,6,9,8,0,5,7,2,4,10,8,7,0
9,15,15,12,3,3,11,13,3,17,3,3,0,11,15,7,4,12,0,15,11
10,1,14,12,11,1,18,18,7,10,9,5,13,7,14,16,1,7,16,17,2
11,18,12,18,5,15,11,9,10,6,13,6,5,12,4,7,9,15,4,9,17
12,5,17,17,17,17,1,12,7,14,2,13,7,13,15,9,0,14,11,6,12
13,15,8,13,1,7,12,7,16,2,13,11,9,5,14,1,10,11,2,1,12
14,13,9,11,15,4,1,14,14,18,7,9,0,15,17,12,12,5,15,4,10
15,7,5,5,4,8,4,18,17,2,16,5,8,7,14,2,3,15,0,15,8
16,9,7,1,5,15,1,0,17,9,0,10,11,5,16,1,9,1,14,18,18
17,3,4,5,2,4,8,6,0,14,5,17,18,8,8,13,1,3,15,10,3
18,1,16,18,10,12,4,15,17,7,15,4,14,4,18,15,8,8,18,15,3
19,15,5,11,12,17,13,12,2,2,8,18,9,5,0,10,9,2,15,14,4
20,3,9,17,15,11,16,16,5,18,18,18,1,8,5,10,0,5,5,11,15
21,3,15,4,17,6,8,12,16,18,6,2,3,1,1,16,0,13,1,9,3
22,15,0,13,10,4,16,2,18,0,17,12,0,13,1,12,18,9,14,15,10
23,9,18,10,16,10,3,2,14,14,16,12,2,13,8,2,0,16,6,9,0
24,5,6,13,13,11,3,6,1,2,10,17,0,16,15,13,8,6,8,2,8
25,6,0,6,17,16,15,5,15,2,15,1,2,2,8,15,10,9,4,13,16
26,2,7,10,14,10,1,7,13,18,10,12,12,8,7,16,10,13,10,17,5
27,2,15,9,6,13,15,15,5,14,8,12,0,10,14,17,9,13,2,6,11
28,4,16,5,7,9,10,6,0,15,15,1,5,14,4,4,7,13,7,7,7
29,15,14,18,9,9,9,15,18,10,1,11,5,18,2,12,11,5,18,7,15
30,15,8,7,18,3,15,8,15,16,13,3,4,13,17,2,5,11,0,17,3
31,10,3,14,5,8,4,10,8,4,13,10,4,0,2,6,18,8,15,12,2
32,16,8,5,1,14,15,3,5,11,17,14,18,14,0,8,16,1,16,7,0
33,14,10,6,5,13,0,15,6,2,2,1,14,17,17,4,5,3,18,3,2
34,5,13,18,17,3,1,2,13,6,2,12,2,14,9,6,0,11,3,12,7
35,6,13,15,4,6,0,16,10,10,0,12,3,8,9,10,15,2,8,18,6
36,12,13,7,8,3,16,12,17,14,15,14,16,9,16,7,2,2,9,15,14
37,0,17,10,3,3,8,6,3,17,6,12,10,6,1,7,10,3,5,7,8
38,15,3,14,8,15,9,16,2,14,15,5,12,12,17,7,6,9,3,5,10
39,9,8,15,6,12,8,3,5,4,2,12,3,16,17,18,4,5,3,4,6
40,2,4,2,18,1,7,1,15,6,5,13,9,17,17,3,5,8,18,1,2
41,4,18,5,18,11,12,2,6,8,10,9,13,3,1,12,13,13,16,7,6
42,15,3,12,8,17,10,18,4,11,8,17,3,10,16,16,18,15,8,17,18
43,2,17,13,14,15,3,12,17,12,4,6,6,3,4,16,13,5,9,4,6
44,4,14,8,14,17,17,5,7,8,15,2,14,12,5,18,11,3,12,4,18
45,18,10,5,16,11,17,18,8,5,18,9,15,18,7,17,16,1,9,9,3
46,9,16,15,7,13,0,7,0,4,9,2,16,18,14,18,15,18,13,15,4
47,12,10,3,9,12,4,15,12,4,10,5,1,9,7,3,18,14,15,5,5
48,10,5,10,14,9,2,5,4,4,4,2,18,8,18,9,10,13,3,16,16
49,3,18,17,6,7,11,9,15,6,14,10,9,3,0,12,1,7,2,1,12
