trial_id,target1_x,target1_y,target2_x,target2_y,target3_x,target3_y,target4_x,target4_y,target5_x,target5_y,target6_x,target6_y,target7_x,target7_y,target8_x,target8_y,target9_x,target9_y,target10_x,target10_y
0,18,2,11,22,9,9,21,1,14,2,7,9,21,24,11,3,3,18,22,18
1,2,0,22,23,6,15,23,23,7,4,12,6,14,19,20,4,3,15,10,16
2,17,10,15,0,16,1,21,23,11,7,1,11,6,14,8,0,15,22,24,6
3,14,2,4,19,6,15,23,19,22,10,2,14,17,16,1,11,9,14,7,8
4,2,13,21,0,16,9,18,18,20,1,12,21,8,20,24,6,20,12,2,6
5,12,1,2,6,5,21,7,2,1,8,16,3,21,4,24,20,13,23,5,6
6,5,9,24,15,3,8,9,8,8,0,24,20,10,3,13,9,12,24,11,14
7,4,17,9,16,9,18,24,1,21,18,9,19,2,19,14,19,14,22,2,6
8,8,11,22,0,10,0,12,12,22,15,7,8,12,17,5,8,20,13,11,13
9,12,13,0,15,8,21,12,5,6,20,1,10,15,19,2,11,24,1,15,2
10,7,19,19,17,5,6,15,7,18,8,10,8,22,4,18,0,16,19,4,13
11,20,11,6,17,9,3,9,13,12,20,2,14,16,16,20,1,20,16,12,19
12,1,15,19,20,4,24,14,12,9,13,5,13,14,13,14,9,13,3,13,6
13,22,9,15,5,2,20,2,18,23,0,16,9,13,16,22,12,2,3,12,19
14,15,19,12,23,23,21,3,18,1,5,10,4,12,2,22,16,22,11,1,6
15,5,0,3,20,11,15,12,22,12,12,7,23,15,0,19,18,23,16,20,8
16,19,8,6,17,5,12,12,11,18,17,3,18,16,16,13,21,11,3,14,9
17,1,11,4,12,1,15,8,10,1,13,22,23,10,12,23,16,17,15,17,5
18,10,17,24,20,14,15,22,23,3,21,17,20,20,6,12,10,2,20,16,8
19,18,6,17,8,17,17,20,16,21,13,7,17,2,5,24,5,20,4,4,24
20,24,7,10,3,21,19,8,3,12,12,22,21,22,4,16,12,19,12,13,14
21,1,6,8,14,14,12,21,0,2,0,23,6,6,20,1,3,6,1,16,19
22,5,24,13,19,22,5,17,23,18,16,6,6,23,8,12,8,11,11,1,5
23,7,9,17,17,21,11,24,6,7,15,15,9,18,0,13,12,12,23,3,13
24,19,14,14,3,19,23,22,23,6,15,18,24,20,16,2,16,9,4,4,16
25,12,11,23,9,9,19,17,21,21,8,5,4,21,11,2,10,18,22,17,9
26,22,7,4,6,1,13,7,8,20,21,13,6,17,3,14,1,14,5,14,13
27,3,4,2,11,21,7,5,3,3,19,3,10,20,8,7,0,4,19,2,15
28,5,21,20,18,20,23,23,3,12,14,20,19,0,9,4,4,5,3,13,8
29,20,20,2,17,23,18,11,20,1,21,19,18,10,19,16,20,8,16,16,0
30,7,1,19,11,2,0,23,14,23,17,19,13,9,1,13,4,8,1,24,11
31,1,1,13,22,10,8,2,17,3,23,16,15,19,20,12,10,2,3,11,9
32,8,20,13,4,19,14,18,4,11,24,15,8,10,10,12,5,2,18,24,19
33,4,3,4,12,23,0,12,7,3,14,8,4,20,8,9,24,23,6,5,20
34,9,4,12,5,19,3,8,0,14,6,17,10,10,8,20,10,11,24,3,3
35,8,20,7,3,14,16,17,5,9,24,16,11,14,8,22,20,17,7,6,3
36,6,11,19,8,15,15,17,18,18,8,23,12,18,18,15,12,15,13,24,12
37,8,4,13,14,23,2,22,11,13,5,6,16,5,11,18,23,19,8,24,5
38,7,18,5,2,14,18,3,13,21,11,1,15,24,10,3,12,9,15,8,20
39,23,8,8,1,3,22,17,10,19,19,3,16,10,17,24,11,13,18,12,16
40,10,10,17,3,11,0,9,10,13,12,22,5,5,4,3,13,12,21,22,20
41,7,24,11,6,8,12,22,21,11,22,11,9,12,17,4,23,12,12,7,14
42,22,22,1,8,3,12,18,15,4,21,1,20,18,3,24,3,8,20,16,23
43,5,8,24,15,12,20,20,16,15,8,14,15,8,19,17,2,8,20,4,11
44,22,11,9,7,22,21,7,23,11,21,24,19,16,14,24,0,21,0,4,11
45,2,5,2,11,10,7,23,20,2,9,20,8,19,12,19,10,2,22,3,21
46,9,6,14,5,17,10,10,17,19,6,11,15,15,5,23,14,14,2,22,19
47,24,21,19,12,8,23,16,24,15,4,9,0,13,4,12,21,14,15,8,7
48,15,1,24,12,22,14,1,6,23,6,3,2,19,21,14,12,9,9,20,17
49,3,12,23,14,12,1,5,11,20,3,14,1,22,13,15,16,16,22,14,3
